EVENT;LINK;DATE
Strikeforce Challengers 20;/events/details/563;Nov. 18, 2011
UFC on Fox 1;/events/details/561;Nov. 12, 2011
UFC 138: Leben vs. Munoz;/events/details/562;Nov. 5, 2011
UFC 137: Penn vs. Diaz;/events/details/560;Oct. 29, 2011
UFC 136: Edgar vs. Maynard 3;/events/details/555;Oct. 8, 2011
UFC on Versus 6;/events/details/558;Oct. 1, 2011
UFC 135: Jones vs. Rampage;/events/details/554;Sep. 24, 2011
DREAM 17;/events/details/557;Sep. 24, 2011
Strikeforce Challengers 19;/events/details/559;Sep. 23, 2011
UFC Fight Night 25;/events/details/553;Sep. 17, 2011
Strikeforce - Barnett vs. Kharitonov;/events/details/556;Sep. 10, 2011
UFC 134: Silva vs. Okami;/events/details/545;Aug. 27, 2011
ProElite 1: Arlovski vs. Lopez;/events/details/658;Aug. 27, 2011
UFC on Versus 5;/events/details/551;Aug. 14, 2011
Strikeforce Challengers 18;/events/details/552;Aug. 12, 2011
UFC 133: Evans vs. Ortiz 2;/events/details/547;Aug. 6, 2011
Strikeforce - Fedor vs. Henderson;/events/details/548;Jul. 30, 2011
Titan Fighting Championship 19;/events/details/659;Jul. 29, 2011
Strikeforce Challengers 17;/events/details/549;Jul. 22, 2011
DREAM - Japan GP Final;/events/details/550;Jul. 16, 2011
UFC 132: Cruz vs. Faber;/events/details/542;Jul. 2, 2011
UFC on Versus 4;/events/details/543;Jun. 26, 2011
Strikeforce Challengers 16;/events/details/546;Jun. 24, 2011
Strikeforce - Overeem vs. Werdum;/events/details/538;Jun. 18, 2011
UFC 131: Dos Santos vs. Carwin;/events/details/540;Jun. 11, 2011
UFC - TUF 13 Finale;/events/details/541;Jun. 4, 2011
DREAM - Fight for Japan;/events/details/544;May. 29, 2011
UFC 130: Rampage vs. Hamill;/events/details/536;May. 28, 2011
UFC 129: St-Pierre vs. Shields;/events/details/534;Apr. 30, 2011
Strikeforce - Diaz vs. Daley;/events/details/537;Apr. 9, 2011
Strikeforce Challengers 15;/events/details/539;Apr. 1, 2011
UFC Fight Night 24;/events/details/533;Mar. 26, 2011
UFC 128: Shogun vs. Jones;/events/details/528;Mar. 19, 2011
Strikeforce - Feijao vs. Henderson;/events/details/535;Mar. 5, 2011
UFC on Versus 3;/events/details/530;Mar. 3, 2011
UFC 127: Penn vs. Fitch;/events/details/526;Feb. 26, 2011
Strikeforce Challengers 14;/events/details/531;Feb. 18, 2011
Strikeforce - Fedor vs. Silva;/events/details/529;Feb. 12, 2011
UFC 126: Silva vs. Belfort;/events/details/525;Feb. 5, 2011
Strikeforce - Diaz vs. Cyborg;/events/details/527;Jan. 29, 2011
UFC Fight Night 23 - Fight for the Troops 2;/events/details/522;Jan. 22, 2011
Strikeforce Challengers 13;/events/details/524;Jan. 7, 2011
UFC 125: Resolution;/events/details/518;Jan. 1, 2011
Dynamite!! 2010;/events/details/523;Dec. 31, 2010
WEC 53: Henderson vs. Pettis;/events/details/503;Dec. 16, 2010
UFC 124: St. Pierre vs. Koscheck 2;/events/details/517;Dec. 11, 2010
