;0
1286;Pat Healy
1287;Pat Miletich
1288;Pat Schilling
1289;Patrick Cote
1290;Patrick Cummins
1291;Patrick Smith
1292;Patrick Speight
1293;Paul Bradley
1294;Paul Buentello
1295;Paul Creighton
1296;Paul Daley
1297;Paul Georgieff
1298;Paul Herrera
1299;Paul Jones
1300;Paul Kelly
1301;Paul Rodriguez
1302;Paul Sass
1303;Paul Song
1304;Paul Taylor
1305;Paul Varelans
1306;Paulo Cesar Silva
1307;Paulo Filho
1308;Paulo Santos
1309;Paulo Thiago
1310;Pawel Nastula
1311;Pedro Otavio
1312;Pedro Rizzo
1313;Per Eklund
1314;Pete Sell
1315;Pete Spratt
1316;Pete Williams
1317;Phil Baroni
1318;Phil Davis
1319;Phil Harris
1320;Phil Johns
1321;Philip De Fries
1322;Philip Perez
1323;Phillip Miller
1324;Phillipe Nover
1325;Piotr Hallmann
1326;Quinn Mulhern
1327;Quinton Jackson
1328;RJ Clifford
1329;Rafael Carino
1330;Rafael Cavalcante
1331;Rafael Dias
1332;Rafael Freitas
1333;Rafael Natal
1334;Rafael Rebello
1335;Rafael dos Anjos
1336;Rafaello Oliveira
1337;Rainy Martinez
1338;Ralek Gracie
1339;Ralph Dillon
1340;Ralph Gracie
1341;Rameau Thierry Sokoudjou
1342;Ramiro Hernandez
1343;Ramsey Nijem
1344;Randy Couture
1345;Rani Yahya
1346;Raou Raou
1347;Raphael Assuncao
1348;Raquel Pa'aluhi
1349;Rashad Evans
1350;Raul Castillo
1351;Raul Sandoval
1352;Ray Perales
1353;Ray Routh
1354;Ray Sefo
1355;Ray Seraille
1356;Ray Steinbeiss
1357;Ray Wizard
1358;Raymond Daniels
1359;Razak Al-Hassan
1360;Reese Andy
1361;Remco Pardoel
1362;Renan Barao
1363;Renato Sobral
1364;Renato Verissimo
1365;Rene Kronvold
1366;Renee Forte
1367;Renzo Gracie
1368;Reuben Duran
1369;Rex Holman
1370;Rex Richards
1371;Reynaldo Trujillo
1372;Reza Madadi
1373;Reza Nasri
1374;Rhadi Ferguson
1375;Ricardo Almeida
1376;Ricardo Arona
1377;Ricardo Barros
1378;Ricardo Funch
1379;Ricardo Lamas
1380;Ricardo Morais
1381;Ricardo Romero
1382;Ricco Rodriguez
1383;Rich Attonito
1384;Rich Bouphanouvong
1385;Rich Clementi
1386;Rich Franklin
1387;Richard Crunkilton
1388;Richie Hightower
1389;Richie Vaculik
1390;Rick Davis
1391;Rick Roufus
1392;Rick Story
1393;Rickson Gracie
1394;Ricky Johnson
1395;Roan Carneiro
1396;Rob Broughton
1397;Rob Emerson
1398;Rob Kimmons
1399;Rob MacDonald
1400;Rob McCullough
1401;Rob Yundt
1402;Robbie Lawler
1403;Robert Lucarelli
1404;Robert McDaniel
1405;Robert Peralta
1406;Robert Whiteford
1407;Robert Whittaker
1408;Roberto Traven
1409;Rodrigo Damm
1410;Rodrigo Gracie
1411;Rodrigo Ruas
1412;Roger Bowling
1413;Roger Gracie
1414;Roger Huerta
1415;Roland Delorme
1416;Roland Payne
1417;Rolando Delgado
1418;Rolando Perez
1419;Rolles Gracie
1420;Roman Mitichyan
1421;Roman Zentsov
1422;Ron Fields
1423;Ron Keslar
1424;Ron Waterman
1425;Ron van Clief
1426;Ronald Carillo
1427;Ronald Jhun
1428;Ronaldo Souza
1429;Ronda Rousey
1430;Ronny Markes
1431;Rony Jason
1432;Rony Sefo
1433;Rory MacDonald
1434;Rory Markham
1435;Rory Singer
1436;Rosi Sexton
1437;Ross Ebanez
1438;Ross Pearson
1439;Ross Pointon
1440;Rousimar Palhares
1441;Roxanne Modafferi
1442;Roy Nelson
1443;Royce Alger
1444;Royce Gracie
1445;Royler Gracie
1446;Ruben Villareal
1447;Rubens Xavier
1448;Rubin Williams
1449;Rudy Bears
1450;Rudyard Moncayo
1451;Russell Doane
1452;Russell Patrick
1453;Rustam Khabilov
1454;Ryan Bader
1455;Ryan Benoit
1456;Ryan Couture
1457;Ryan Gracie
1458;Ryan Jensen
1459;Ryan Jimmo
1460;Ryan Keenan
1461;Ryan Larson
1462;Ryan Madigan
1463;Ryan McGivern
1464;Ryan Parker
1465;Ryan Roberts
1466;Ryan Stonitsch
1467;Ryan Thomas
1468;Ryo Chonan
1469;Ryuichi Murata
1470;Ryuta Sakurai
1471;Saad Awad
1472;Sabah Homasi
1473;Saeed Hosseini
1474;Salvador Woods
1475;Sam Adkins
1476;Sam Fulton
1477;Sam Hoger
1478;Sam Liera
1479;Sam Oropeza
1480;Sam Sicilia
1481;Sam Spengler
1482;Sam Stout
1483;Sammy Morgan
1484;Samy Schiavo
1485;Sanae Kikuta
1486;Sara McMann
1487;Sarah D'alelio
1488;Sarah Kaufman
1489;Satoru Kitaoka
1490;Satoshi Honma
1491;Satoshi Ishii
1492;Scott Adams
1493;Scott Baker
1494;Scott Bessac
1495;Scott Carson
1496;Scott Ferrozzo
1497;Scott Fiedler
1498;Scott Graham
1499;Scott Harper
1500;Scott Jorgensen
1501;Scott Junk
1502;Scott Lighty
1503;Scott McAfee
1504;Scott Morris
1505;Scott Norton
1506;Scott Smith
1507;Sean Alvarez
1508;Sean Bassett
1509;Sean Daugherty
1510;Sean Gannon
1511;Sean McCorkle
1512;Sean O'Haire
1513;Sean Pierson
1514;Sean Salmon
1515;Sean Scott
1516;Sean Sherk
1517;Sean Soriano
1518;Sean Spencer
1519;Sean Strickland
1520;Seichi Ikemoto
1521;Semmy Schilt
1522;Sergei Kharitonov
1523;Sergey Ignatov
1524;Sergio Gomez
1525;Sergio Moraes
1526;Sergio Pettis
1527;Seth Baczynski
1528;Seth Dikun
1529;Seth Kleinbeck
1530;Seth Petruzelli
1531;Shamar Bailey
1532;Shana Olsen
1533;Shane Carwin
1534;Shane Nelson
1535;Shane Primm
1536;Shane Roller
1537;Shane del Rosario
1538;Shannon Gugerty
1539;Shannon Ritch
1540;Shawn Jordan
1541;Shayna Baszler
1542;Sheila Gaff
1543;Sherman Pendergarst
1544;Sherron Leggett
1545;Shingo Kohara
1546;Shinya Aoki
1547;Shonie Carter
1548;Shungo Oyama
1549;Shunichi Shimizu
1550;Siala Siliga
1551;Sidney Silva
1552;Simeon Thoresen
1553;Siyar Bahadurzada
1554;Soa Palelei
1555;Soichi Nishida
1556;Solomon Hutcherson
1557;Spencer Fisher
1558;Stanislav Nedkov
1559;Stefan Klever
1560;Stefan Leko
1561;Stefan Struve
1562;Stephan Bonnar
1563;Stephanie Webber
1564;Stephen Palling
1565;Stephen Thompson
1566;Sterling Ford
1567;Steve Berger
1568;Steve Bruno
1569;Steve Cantwell
1570;Steve Hadsel
1571;Steve Jennum
1572;Steve Judson
1573;Steve Lopez
1574;Steve Mensing
1575;Steve Nelmark
1576;Steve Steinbeiss
1577;Steve Vigneault
1578;Steven Graham
1579;Steven Siler
1580;Stevie Lynch
1581;Stipe Miocic
1582;TJ Cook
1583;TJ Dillashaw
1584;TJ Grant
1585;TJ O'Brien
1586;Tae Hyun Lee
1587;Tai Bowden
1588;Taiei Kin
1589;Takafumi Otsuka
1590;Takahiro Oba
1591;Takanori Gomi
1592;Takashi Sugiura
1593;Takayuki Okada
1594;Takenori Sato
1595;Takeshi Inoue
1596;Takeya Mizugaki
1597;Tamdan McCrory
1598;Tarec Saffiedine
1599;Tatsuya Iwasaki
1600;Tatsuya Kawajiri
1601;Tatsuya Mizuno
1602;Taylor Roberts
1603;Tedd Williams
1604;Teila Tuli
1605;Terrell Brown
1606;Terry Etim
1607;Terry Martin
1608;Thaddeus Luster
1609;Thales Leites
1610;Thiago Alves
1611;Thiago Perpetuo
1612;Thiago Santos
1613;Thiago Silva
1614;Thiago Tavares
1615;Thomas Campbell
1616;Thomas Denny
1617;Thomas Diagne
1618;Thomas Ramirez
1619;Tiequan Zhang
1620;Tiki Ghosn
1621;Tim Boetsch
1622;Tim Catalfo
1623;Tim Credeur
1624;Tim Hague
1625;Tim Kennedy
1626;Tim Lajcik
1627;Tim McKenzie
1628;Tim Means
1629;Tim Stout
1630;Tim Sylvia
1631;Tito Ortiz
1632;Todd Brown
1633;Todd Butler
1634;Todd Duffee
1635;Todd Gouwenberg
1636;Todd Lally
1637;Todd Medina
1638;Todd Moore
1639;Tokimitsu Ishizawa
1640;Tom Aaron
1641;Tom Blackledge
1642;Tom Egan
1643;Tom Erikson
1644;Tom Lawlor
1645;Tom Murphy
1646;Tom Tuggle
1647;Tom Watson
1648;Tomasz Drwal
1649;Tommy Hayden
1650;Tommy Lee
1651;Tommy Petersen
1652;Tommy Speer
1653;Tomohiko Hashimoto
1654;Tomomi Iwama
1655;Tony Bonello
1656;Tony DeSouza
1657;Tony Ferguson
1658;Tony Fryklund
1659;Tony Halme
1660;Tony Johnson
1661;Tony Juarez
1662;Tony Petarra
1663;Tony Sylvester
1664;Tonya Evinger
1665;Tor Troeng
1666;Torrance Taylor
1667;Tra Telligman
1668;Travis Browne
1669;Travis Fulton
1670;Travis Galbraith
1671;Travis Lutter
1672;Travis Wiuff
1673;Trenell Young
1674;Trent Jenkins
1675;Trevor Prangley
1676;Trevor Smith
1677;Trey Houston
1678;Tristan Arenal
1679;Troy Mandaloniz
1680;Tsuyoshi Kohsaka
1681;Tsuyoshi Kurihara
1682;Tsuyoshi Tamakairiki
1683;Tulio Palhares
1684;Turrell Galloway
1685;Tyler Stinson
1686;Tyler Toner
1687;Tyra Parker
1688;Tyron Woodley
1689;Tyson Griffin
1690;Ulysses Gomez
1691;Urijah Faber
1692;Vagner Rocha
1693;Valentijn Overeem
1694;Valeri Ignatov
1695;Vaughan Lee
1696;Vernon White
1697;Victor Valenzuela
1698;Victor Valimaki
1699;Vinc Pichel
1700;Vinicius Queiroz
1701;Vinny Magalhaes
1702;Virgil Zwicker
1703;Viscardi Andrade
1704;Vitor Belfort
1705;Vitor Ribeiro
1706;Vitor Vianna
1707;Vladimir Matyushenko
1708;Wade Shipp
1709;Wagner Campos
1710;Wagner Prado
1711;Wagner da Conceicao Martins
1712;Wagnney Fabiano
1713;Walel Watson
1714;Wallid Ismail
1715;Walt Harris
1716;Wanderlei Silva
1717;War Machine
1718;Wataru Sakata
1719;Waylon Kennell
1720;Waylon Lowe
1721;Wayne Cole
1722;Wayne Phillips
1723;Wes Albritton
1724;Wes Combs
1725;Wes Shivers
1726;Wes Sims
1727;Wesley Correira
1728;Will Brooks
1729;Will Campuzano
1730;Will Chope
1731;Will Kerr
1732;Will Ribeiro
1733;William Macario
1734;Willie Parks
1735;Willie Peeters
1736;Wilson Gouveia
1737;Won Jin Eoh
1738;Won Sik Park
1739;Xavier Foupa-Pokam
1740;Yan Cabral
1741;Yan Pellerin
1742;Yancy Medeiros
1743;Yaotzin Meza
1744;Yasuhiro Urushitani
1745;Yasuhito Namekawa
1746;Yoel Romero
1747;Yohan Banks
1748;Yoislandy Izquierdo
1749;Yoji Anjo
1750;Yokthai Sithoar
1751;Yoshiaki Yatsu
1752;Yoshihiro Akiyama
1753;Yoshihiro Nakao
1754;Yoshihiro Takayama
1755;Yoshihisa Yamamoto
1756;Yoshiki Takahashi
1757;Yoshiro Maeda
1758;Yoshiyuki Yoshida
1759;Yosuke Nishijima
1760;Young Sam Jung
1761;Yuhi Sano
1762;Yuji Nagata
1763;Yuki Ishikawa
1764;Yuki Kondo
1765;Yukio Sakaguchi
1766;Yukiya Naito
1767;Yurij Kiseliov
1768;Yusaku Nakamura
1769;Yushin Okami
1770;Yusuke Imamura
1771;Yusup Saadulaev
1772;Yuya Shirai
1773;Yves Edwards
1774;Yves Jabouin
1775;Zach Light
1776;Zachary Micklewright
1777;Zak Bucia
1778;Zak Cummings
1779;Zane Frazier
1780;Zelg Galesic
1781;Zoila Frausto
