EVENT;FIGHTER_LOSE;FIGHTER_WIN;METHOD;METHOD_DESC;ROUND;TIME;DATE
2H2H - Pride & Honor;Aleksander Emelianenko;Fabricio Werdum;SUB;Arm Triangle;1;3:24;Nov. 12, 2006
AFC 1;Ralph Dillon;Rich Franklin;SUB;Kimura;1;2:55;Jul. 14, 2004
Adrenaline MMA 2: Miletich vs. Denny;Chris Guillen;Ben Rothwell;SUB;Strikes;1;3:40;Dec. 11, 2008
Affliction - Banned;Tim Sylvia;Fedor Emelianenko;SUB;Rear Naked Choke;1;0:36;Jul. 19, 2008
Affliction - Banned;Ben Rothwell;Andrei Arlovski;KO/TKO;Punch;3;1:13;Jul. 19, 2008
Affliction - Banned;Pedro Rizzo;Josh Barnett;KO/TKO;Punch;2;1:44;Jul. 19, 2008
Affliction - Banned;Trenell Young;Mark Hominick;SUB;Armbar;2;4:25;Jul. 19, 2008
Affliction - Banned;Mike Whitehead;Renato Sobral;U. DEC;;3;5:00;Jul. 19, 2008
Affliction - Banned;Fabio Nascimento;Matt Lindland;U. DEC;;3;5:00;Jul. 19, 2008
Affliction - Banned;Edwin DeWees;Antonio Rogerio Nogueira;KO/TKO;Punches;1;4:06;Jul. 19, 2008
Affliction - Banned;JJ Ambrose;Mike Pyle;SUB;Rear Naked Choke;1;2:51;Jul. 19, 2008
Affliction - Banned;Terry Martin;Vitor Belfort;KO/TKO;Punch;2;3:12;Jul. 19, 2008
Affliction - Banned;Gary Goodridge;Paul Buentello;U. DEC;;3;5:00;Jul. 19, 2008
Affliction - Day of Reckoning;Jason High;Jay Hieron;KO/TKO;Punch;1;1:04;Jan. 24, 2009
Affliction - Day of Reckoning;Andrei Arlovski;Fedor Emelianenko;KO/TKO;Punch;1;3:14;Jan. 24, 2009
Affliction - Day of Reckoning;Gilbert Yvel;Josh Barnett;SUB;Strikes;3;3:05;Jan. 24, 2009
Affliction - Day of Reckoning;Matt Lindland;Vitor Belfort;KO/TKO;Punch;1;0:37;Jan. 24, 2009
Affliction - Day of Reckoning;Rameau Thierry Sokoudjou;Renato Sobral;SUB;D'Arce Choke;2;2:36;Jan. 24, 2009
Affliction - Day of Reckoning;Kiril Sidelnikov;Paul Buentello;Dr's Stoppage;Fatigue;3;4:18;Jan. 24, 2009
Affliction - Day of Reckoning;Bobby Green;Dan Lauzon;SUB;Rear Naked Choke;1;4:55;Jan. 24, 2009
Affliction - Day of Reckoning;Vladimir Matyushenko;Antonio Rogerio Nogueira;KO/TKO;Knee;2;4:26;Jan. 24, 2009
Affliction - Day of Reckoning;Bao Quach;LC Davis;U. DEC;;3;5:00;Jan. 24, 2009
Affliction - Day of Reckoning;Antonio Duarte;Albert Rios;U. DEC;;3;5:00;Jan. 24, 2009
Affliction - Day of Reckoning;Patrick Speight;Brett Cooper;KO/TKO;Punches;2;4:39;Jan. 24, 2009
BRI 3;Joe Stevenson;Jens Pulver;KO/TKO;Punch;1;1:52;Jun. 1, 1999
BodogFight - Clash of Nations;Matt Lindland;Fedor Emelianenko;SUB;Armbar;1;2:58;Apr. 14, 2007
BodogFight - Costa Rica 2/18;Ray Steinbeiss;Jake Shields;SUB;Guillotine Choke;1;1:29;Feb. 18, 2007
BodogFight - St. Petersburg;Jeremiah Constant;Cain Velasquez;KO/TKO;Punches;1;4:00;Dec. 16, 2006
Brazil Open '97;Crezio de Souza;Dan Henderson;KO/TKO;Punches;1;5:25;Jun. 15, 1997
Brazil Open '97;Eric Smith;Dan Henderson;SUB;Guillotine Choke;1;0:30;Jun. 15, 1997
Bushido Europe - Rotterdam Rumble;Milco Voorn;Mark Coleman;SUB;Arm Triangle;1;0:56;Oct. 9, 2005
Bushido Europe - Rotterdam Rumble;Stefan Klever;Gegard Mousasi;KO/TKO;Punches;1;3:39;Oct. 9, 2005
CWFC - Strike Force 2;Miika Mehmet;Michael Bisping;KO/TKO;Corner Stoppage;1;3:01;Jul. 16, 2005
CWFC - Strike Force 3;Jakob Lovstad;Michael Bisping;KO/TKO;Punches;1;1:10;Oct. 1, 2005
CWFC - Strike Force 4;Ross Pointon;Michael Bisping;SUB;Armbar;1;2:00;Nov. 26, 2005
Cage Rage 11: Face Off;Jorge Rivera;Anderson Silva;KO/TKO;Knees;2;3:53;Apr. 30, 2005
Cage Rage 14: Punishment;Curtis Stout;Anderson Silva;KO/TKO;Punches;1;4:59;Dec. 3, 2005
Cage Rage 16: Critical Condition;Tony Fryklund;Anderson Silva;KO/TKO;Elbow;1;2:02;Apr. 22, 2006
Cage Rage 21: Judgement Day;Ivan Serati;Vitor Belfort;KO/TKO;Punches;1;3:47;Apr. 21, 2007
Cage Rage 23: Unbelievable;James Zikic;Vitor Belfort;U. DEC;;3;5:00;Sep. 22, 2007
Cage Rage 8: Knights of the Octagon;Lee Murray;Anderson Silva;U. DEC;;3;5:00;Sep. 11, 2004
DEEP 16;Shinya Aoki;Jutaro Nakao;KO/TKO;Punch;1;4:29;Oct. 30, 2004
DEEP 22;Tsuyoshi Kurihara;Gegard Mousasi;KO/TKO;Knee;1;0:10;Dec. 2, 2005
DEEP 50 - Impact;Yokthai Sithoar;Shinya Aoki;SUB;Keylock;1;1:00;Oct. 24, 2010
DREAM - Fight for Japan;Kenji Osawa;Masakazu Imanari;SUB;Heel Hook;2;0:58;May. 29, 2011
DREAM - Fight for Japan;Atsushi Yamamoto;Hideo Tokoro;S. DEC;;2;5:00;May. 29, 2011
DREAM - Fight for Japan;Rich Clementi;Shinya Aoki;SUB;Neck Crank;2;2:32;May. 29, 2011
DREAM - Fight for Japan;Daisuke Nakamura;Katsunori Kikuno;U. DEC;;2;5:00;May. 29, 2011
DREAM - Fight for Japan;Akiyo Nishiura;Caol Uno;U. DEC;;2;5:00;May. 29, 2011
DREAM - Fight for Japan;Koichiro Matsumoto;Takeshi Inoue;KO/TKO;;1;6:51;May. 29, 2011
DREAM - Fight for Japan;Mitsuhiro Ishida;Joachim Hansen;S. DEC;;2;5:00;May. 29, 2011
DREAM - Fight for Japan;Takafumi Otsuka;Kenji Osawa;S. DEC;;2;5:00;May. 29, 2011
DREAM - Fight for Japan;Keisuke Fujiwara;Masakazu Imanari;U. DEC;;2;5:00;May. 29, 2011
DREAM - Fight for Japan;Yoshiro Maeda;Hideo Tokoro;KO/TKO;Corner Stoppage;2;0:43;May. 29, 2011
DREAM - Fight for Japan;Yusaku Nakamura;Atsushi Yamamoto;KO/TKO;Punches;1;8:43;May. 29, 2011
DREAM - Japan GP Final;Kazuyuki Miyata;Hiroyuki Takaya;S. DEC;;3;5:00;Jul. 16, 2011
DREAM - Japan GP Final;Masakazu Imanari;Hideo Tokoro;U. DEC;;2;5:00;Jul. 16, 2011
DREAM - Japan GP Final;Hiroshi Izumi;Gegard Mousasi;KO/TKO;Punches;1;3:29;Jul. 16, 2011
DREAM - Japan GP Final;Drew Fickett;Tatsuya Kawajiri;KO/TKO;Punches;1;4:41;Jul. 16, 2011
DREAM - Japan GP Final;Keisuke Fujiwara;Kenji Osawa;U. DEC;;2;5:00;Jul. 16, 2011
DREAM - Japan GP Final;Trevor Prangley;Tatsuya Mizuno;KO/TKO;Knee;1;4:41;Jul. 16, 2011
DREAM - Japan GP Final;Eiji Ishikawa;Marius Zaromskis;U. DEC;;2;5:00;Jul. 16, 2011
DREAM - Japan GP Final;Bruno Carvalho;Eiji Mitsuoka;U. DEC;;2;5:00;Jul. 16, 2011
DREAM - New Year! 2011;Satoshi Ishii;Fedor Emelianenko;KO/TKO;Punches;1;2:29;Dec. 31, 2011
DREAM - New Year! 2011;Satoru Kitaoka;Shinya Aoki;U. DEC;;5;5:00;Dec. 31, 2011
DREAM - New Year! 2011;Takeshi Inoue;Hiroyuki Takaya;U. DEC;;5;5:00;Dec. 31, 2011
DREAM - New Year! 2011;Antonio Banuelos;Bibiano Fernandes;KO/TKO;Punches;1;1:21;Dec. 31, 2011
DREAM - New Year! 2011;Karla Benitez;Megumi Fujii;SUB;Armbar;1;1:15;Dec. 31, 2011
DREAM - New Year! 2011;Kazuyuki Miyata;Tatsuya Kawajiri;SUB;Arm Triangle;2;4:54;Dec. 31, 2011
DREAM - New Year! 2011;Ryo Chonan;Hayato Sakurai;U. DEC;;3;5:00;Dec. 31, 2011
DREAM - New Year! 2011;Rodolfo Marques Diniz;Bibiano Fernandes;U. DEC;;2;5:00;Dec. 31, 2011
DREAM - New Year! 2011;Masakazu Imanari;Antonio Banuelos;S. DEC;;2;5:00;Dec. 31, 2011
DREAM - New Year! 2011;Hideo Tokoro;Yusup Saadulaev;KO/TKO;Slam;1;0:42;Dec. 31, 2011
DREAM 10: Welterweight Grand Prix 2009 Final Round;Jason High;Marius Zaromskis;KO/TKO;Kick;1;2:22;Jul. 20, 2009
DREAM 10: Welterweight Grand Prix 2009 Final Round;Vitor Ribeiro;Shinya Aoki;U. DEC;;2;5:00;Jul. 20, 2009
DREAM 10: Welterweight Grand Prix 2009 Final Round;Dong Sik Yoon;Jesse Taylor;SUB;Injury;1;1:02;Jul. 20, 2009
DREAM 10: Welterweight Grand Prix 2009 Final Round;Melvin Manhoef;Paulo Filho;SUB;Armbar;1;2:36;Jul. 20, 2009
DREAM 10: Welterweight Grand Prix 2009 Final Round;Andre Amado;Katsunori Kikuno;KO/TKO;Punches;1;3:47;Jul. 20, 2009
DREAM 10: Welterweight Grand Prix 2009 Final Round;Andre Galvao;Jason High;S. DEC;;2;5:00;Jul. 20, 2009
DREAM 10: Welterweight Grand Prix 2009 Final Round;Hayato Sakurai;Marius Zaromskis;KO/TKO;Kick;1;4:03;Jul. 20, 2009
DREAM 10: Welterweight Grand Prix 2009 Final Round;Seichi Ikemoto;Tarec Saffiedine;U. DEC;;2;5:00;Jul. 20, 2009
DREAM 11: Featherweight Grand Prix 2009 Final Round;Hiroyuki Takaya;Bibiano Fernandes;S. DEC;;2;5:00;Oct. 6, 2009
DREAM 11: Featherweight Grand Prix 2009 Final Round;Joachim Hansen;Shinya Aoki;SUB;Armbar;2;4:56;Oct. 6, 2009
DREAM 11: Featherweight Grand Prix 2009 Final Round;Rubin Williams;Kazushi Sakuraba;SUB;Kimura;1;2:53;Oct. 6, 2009
DREAM 11: Featherweight Grand Prix 2009 Final Round;Melchor Manibusan;Tatsuya Kawajiri;KO/TKO;;1;3:48;Oct. 6, 2009
DREAM 11: Featherweight Grand Prix 2009 Final Round;Bob Sapp;Rameau Thierry Sokoudjou;KO/TKO;;1;1:31;Oct. 6, 2009
DREAM 11: Featherweight Grand Prix 2009 Final Round;Hong Man Choi;Ikuhisa Minowa;SUB;Heel Hook;2;1:27;Oct. 6, 2009
DREAM 11: Featherweight Grand Prix 2009 Final Round;Joe Warren;Bibiano Fernandes;SUB;Armbar;1;0:42;Oct. 6, 2009
DREAM 11: Featherweight Grand Prix 2009 Final Round;Hideo Tokoro;Hiroyuki Takaya;KO/TKO;;2;0:32;Oct. 6, 2009
DREAM 11: Featherweight Grand Prix 2009 Final Round;Daiki Hata;Kazuyuki Miyata;U. DEC;;2;5:00;Oct. 6, 2009
DREAM 12;James Thompson;Alistair Overeem;SUB;Guillotine Choke;1;0:33;Oct. 25, 2009
DREAM 12;Katsunori Kikuno;Eddie Alvarez;SUB;Arm Triangle;2;3:42;Oct. 25, 2009
DREAM 12;Ho Bae Myeon;Marius Zaromskis;KO/TKO;Kick;1;0:19;Oct. 25, 2009
DREAM 12;Zelg Galesic;Kazushi Sakuraba;SUB;Kneebar;1;1:40;Oct. 25, 2009
DREAM 12;Tokimitsu Ishizawa;Katsuyori Shibata;KO/TKO;Punch;1;4:52;Oct. 25, 2009
DREAM 12;Tarec Saffiedine;Dong Sik Yoon;S. DEC;;3;5:00;Oct. 25, 2009
DREAM 12;Chase Beebe;Yoshiro Maeda;SUB;Rear Naked Choke;1;3:36;Oct. 25, 2009
DREAM 12;Won Sik Park;Kuniyoshi Hironaka;KO/TKO;Corner Stoppage;1;5:00;Oct. 25, 2009
DREAM 12;Keisuke Fujiwara;Tomoya Miyashita;U. DEC;;3;5:00;Oct. 25, 2009
DREAM 13;Joachim Hansen;Bibiano Fernandes;S. DEC;;2;5:00;Mar. 22, 2010
DREAM 13;Siala Siliga;Josh Barnett;SUB;Kimura;1;4:41;Mar. 22, 2010
DREAM 13;Andre Amado;KJ Noons;U. DEC;;2;5:00;Mar. 22, 2010
DREAM 13;Andrews Nakahara;Ryo Chonan;U. DEC;;2;5:00;Mar. 22, 2010
DREAM 13;Yoshiro Maeda;Cole Escovedo;KO/TKO;Kick;1;2:29;Mar. 22, 2010
DREAM 13;Kuniyoshi Hironaka;Katsunori Kikuno;KO/TKO;Punch;1;1:26;Mar. 22, 2010
DREAM 13;Jimmy Ambriz;Ikuhisa Minowa;SUB;Toe Hold;2;2:42;Mar. 22, 2010
DREAM 14;Hayato Sakurai;Nick Diaz;SUB;Armbar;1;3:54;May. 29, 2010
DREAM 14;Kazushi Sakuraba;Ralek Gracie;U. DEC;;3;5:00;May. 29, 2010
DREAM 14;Joachim Hansen;Hiroyuki Takaya;KO/TKO;Punches;1;4:27;May. 29, 2010
DREAM 14;Federico Lopez;Norifumi Yamamoto;KO/TKO;Punch;1;1:41;May. 29, 2010
DREAM 14;Hideo Tokoro;Akiyo Nishiura;KO/TKO;Punch;1;2:51;May. 29, 2010
DREAM 14;Takafumi Otsuka;Kazuyuki Miyata;S. DEC;;3;5:00;May. 29, 2010
DREAM 14;Yoshiro Maeda;Kenji Osawa;S. DEC;;3;5:00;May. 29, 2010
DREAM 14;Imani Lee;Ikuhisa Minowa;SUB;Rear Naked Choke;1;4:16;May. 29, 2010
DREAM 15;Tatsuya Kawajiri;Shinya Aoki;SUB;Ankle Lock;1;1:53;Jul. 10, 2010
DREAM 15;Katsunori Kikuno;Gesias Cavalcante;S. DEC;;2;5:00;Jul. 10, 2010
DREAM 15;Jake O'Brien;Gegard Mousasi;SUB;Guillotine Choke;1;0:31;Jul. 10, 2010
DREAM 15;Melvin Manhoef;Tatsuya Mizuno;SUB;Kimura;1;7:38;Jul. 10, 2010
DREAM 15;Young Sam Jung;Michihiro Omigawa;SUB;Guillotine Choke;1;7:31;Jul. 10, 2010
DREAM 15;Daiki Hata;Mitsuhiro Ishida;U. DEC;;2;5:00;Jul. 10, 2010
DREAM 15;Karl Amoussou;Kazuhiro Nakamura;U. DEC;;2;5:00;Jul. 10, 2010
DREAM 16;Tatsuya Mizuno;Gegard Mousasi;SUB;Rear Naked Choke;1;6:10;Sep. 25, 2010
DREAM 16;Kazushi Sakuraba;Jason Miller;SUB;Arm Triangle;1;2:09;Sep. 25, 2010
DREAM 16;Marcus Aurelio;Shinya Aoki;U. DEC;;2;5:00;Sep. 25, 2010
DREAM 16;Ikuhisa Minowa;Satoshi Ishii;U. DEC;;2;5:00;Sep. 25, 2010
DREAM 16;Chase Beebe;Hiroyuki Takaya;KO/TKO;Punches;1;1:45;Sep. 25, 2010
DREAM 16;Cole Escovedo;Michihiro Omigawa;SUB;Armbar;1;2:30;Sep. 25, 2010
DREAM 16;Hideo Tokoro;Joachim Hansen;SUB;Triangle Choke;1;2:48;Sep. 25, 2010
DREAM 16;Takeshi Inoue;Kazuyuki Miyata;U. DEC;;2;5:00;Sep. 25, 2010
DREAM 16;Akiyo Nishiura;Mitsuhiro Ishida;S. DEC;;2;5:00;Sep. 25, 2010
DREAM 16;James Thompson;Yusuke Kawaguchi;S. DEC;;2;5:00;Sep. 25, 2010
DREAM 17;Rob McCullough;Shinya Aoki;SUB;Neck Crank;1;4:57;Sep. 24, 2011
DREAM 17;Joachim Hansen;Tatsuya Kawajiri;SUB;Arm Triangle;3;2:30;Sep. 24, 2011
DREAM 17;Caol Uno;Takeshi Inoue;KO/TKO;;1;4:18;Sep. 24, 2011
DREAM 17;Kazushi Sakuraba;Yan Cabral;SUB;Arm Triangle;2;2:42;Sep. 24, 2011
DREAM 17;Willamy Freire;Satoru Kitaoka;S. DEC;;3;5:00;Sep. 24, 2011
DREAM 17;Kazuhiro Nakamura;Gerald Harris;S. DEC;;3;5:00;Sep. 24, 2011
DREAM 17;Hideo Tokoro;Antonio Banuelos;S. DEC;;3;5:00;Sep. 24, 2011
DREAM 17;Takafumi Otsuka;Bibiano Fernandes;SUB;Rear Naked Choke;1;0:41;Sep. 24, 2011
DREAM 17;Abel Cullum;Masakazu Imanari;SUB;Armbar;3;0:46;Sep. 24, 2011
DREAM 17;Yusup Saadulaev;Rodolfo Marques Diniz;U. DEC;;3;5:00;Sep. 24, 2011
DREAM 17;Baru Harn;Ikuhisa Minowa;SUB;Neck Crank;1;4:39;Sep. 24, 2011
DREAM 18;Michihiro Omigawa;Tatsuya Kawajiri;U. DEC;;3;5:00;Dec. 31, 2012
DREAM 18;Hiroyuki Takaya;Georgi Karakhanyan;S. DEC;;3;5:00;Dec. 31, 2012
DREAM 18;Antonio McKee;Shinya Aoki;SUB;Strikes;2;0:24;Dec. 31, 2012
DREAM 18;Yoshiro Maeda;Bibiano Fernandes;SUB;Triangle Choke;1;1:46;Dec. 31, 2012
DREAM 18;Denis Kang;Melvin Manhoef;KO/TKO;Knee;1;0:50;Dec. 31, 2012
DREAM 18;Phil Baroni;Hayato Sakurai;U. DEC;;3;5:00;Dec. 31, 2012
DREAM 18;Fiona Muxlow;Marloes Coenen;SUB;Armbar;1;3:29;Dec. 31, 2012
DREAM 18;Satoru Kitaoka;Will Brooks;KO/TKO;Punches;2;3:46;Dec. 31, 2012
DREAM 1: Lightweight Grand Prix 2008 1st Round;Gesias Cavalcante;Shinya Aoki;CNC;;1;3:46;Mar. 15, 2008
DREAM 1: Lightweight Grand Prix 2008 1st Round;Kultar Gill;Tatsuya Kawajiri;U. DEC;;2;5:00;Mar. 15, 2008
DREAM 1: Lightweight Grand Prix 2008 1st Round;Andre Amado;Eddie Alvarez;KO/TKO;Punches;1;6:47;Mar. 15, 2008
DREAM 1: Lightweight Grand Prix 2008 1st Round;Tatsuya Mizuno;Mirko Filipovic;KO/TKO;Punches;1;0:56;Mar. 15, 2008
DREAM 1: Lightweight Grand Prix 2008 1st Round;Bu-Kyung Jung;Mitsuhiro Ishida;U. DEC;;2;5:00;Mar. 15, 2008
DREAM 1: Lightweight Grand Prix 2008 1st Round;Artur Oumakhanov;Katsuhiko Nagata;U. DEC;;2;5:00;Mar. 15, 2008
DREAM 1: Lightweight Grand Prix 2008 1st Round;Kazuyuki Miyata;Luiz Firmino;SUB;Rear Naked Choke;1;7:37;Mar. 15, 2008
DREAM 1: Lightweight Grand Prix 2008 1st Round;Kotetsu Boku;Joachim Hansen;U. DEC;;2;5:00;Mar. 15, 2008
DREAM 1: Lightweight Grand Prix 2008 1st Round;Hidetaka Monma;Hayato Sakurai;KO/TKO;Punches;1;4:12;Mar. 15, 2008
DREAM 1: Lightweight Grand Prix 2008 1st Round;Lee Kwan Bum;Ikuhisa Minowa;SUB;Kneebar;1;1:25;Mar. 15, 2008
DREAM 2: Middleweight Grand Prix 2008 1st Round;Andrews Nakahara;Kazushi Sakuraba;SUB;Neck Crank;1;8:20;Apr. 29, 2008
DREAM 2: Middleweight Grand Prix 2008 1st Round;Denis Kang;Gegard Mousasi;SUB;Triangle Choke;1;3:10;Apr. 29, 2008
DREAM 2: Middleweight Grand Prix 2008 1st Round;Masakatsu Funaki;Kiyoshi Tamura;KO/TKO;Punches;1;0:57;Apr. 29, 2008
DREAM 2: Middleweight Grand Prix 2008 1st Round;Ian Murphy;Ronaldo Souza;SUB;Rear Naked Choke;1;3:38;Apr. 29, 2008
DREAM 2: Middleweight Grand Prix 2008 1st Round;Magomed Sultanakhmedov;Zelg Galesic;SUB;Armbar;1;1:40;Apr. 29, 2008
DREAM 2: Middleweight Grand Prix 2008 1st Round;Shungo Oyama;Dong Sik Yoon;U. DEC;;2;5:00;Apr. 29, 2008
DREAM 2: Middleweight Grand Prix 2008 1st Round;Ikuhisa Minowa;Taiei Kin;U. DEC;;2;5:00;Apr. 29, 2008
DREAM 2: Middleweight Grand Prix 2008 1st Round;Gesias Cavalcante;Shinya Aoki;U. DEC;;2;5:00;Apr. 29, 2008
DREAM 3: Lightweight Grand Prix 2008 2nd Round;Mitsuhiro Ishida;Caol Uno;SUB;Rear Naked Choke;2;1:39;May. 11, 2008
DREAM 3: Lightweight Grand Prix 2008 2nd Round;Joachim Hansen;Eddie Alvarez;U. DEC;;2;5:00;May. 11, 2008
DREAM 3: Lightweight Grand Prix 2008 2nd Round;Luiz Firmino;Tatsuya Kawajiri;U. DEC;;2;5:00;May. 11, 2008
DREAM 3: Lightweight Grand Prix 2008 2nd Round;Katsuya Inoue;Nick Diaz;KO/TKO;Corner Stoppage;1;6:45;May. 11, 2008
DREAM 3: Lightweight Grand Prix 2008 2nd Round;Bu-Kyung Jung;Daisuke Nakamura;KO/TKO;Punch;2;1:05;May. 11, 2008
DREAM 3: Lightweight Grand Prix 2008 2nd Round;Dae Won Kim;Melvin Manhoef;KO/TKO;Knee;1;4:08;May. 11, 2008
DREAM 3: Lightweight Grand Prix 2008 2nd Round;Katsuyori Shibata;Jason Miller;KO/TKO;Punches;1;6:57;May. 11, 2008
DREAM 3: Lightweight Grand Prix 2008 2nd Round;Shoji Maruyama;Takeshi Yamazaki;U. DEC;;2;5:00;May. 11, 2008
DREAM 4: Middleweight Grand Prix 2008 2nd Round;Kazushi Sakuraba;Melvin Manhoef;KO/TKO;Punches;1;1:30;Jun. 15, 2008
DREAM 4: Middleweight Grand Prix 2008 2nd Round;Jason Miller;Ronaldo Souza;U. DEC;;2;5:00;Jun. 15, 2008
DREAM 4: Middleweight Grand Prix 2008 2nd Round;Taiei Kin;Zelg Galesic;KO/TKO;Elbow Injury;1;1:05;Jun. 15, 2008
DREAM 4: Middleweight Grand Prix 2008 2nd Round;Dong Sik Yoon;Gegard Mousasi;U. DEC;;2;5:00;Jun. 15, 2008
DREAM 4: Middleweight Grand Prix 2008 2nd Round;Darren Uyenoyama;Hideo Tokoro;U. DEC;;2;5:00;Jun. 15, 2008
DREAM 4: Middleweight Grand Prix 2008 2nd Round;Alavutdin Gadjiev;Ralek Gracie;SUB;Armbar;1;3:02;Jun. 15, 2008
DREAM 4: Middleweight Grand Prix 2008 2nd Round;Tae Hyun Lee;Alistair Overeem;KO/TKO;Punches;1;0:36;Jun. 15, 2008
DREAM 4: Middleweight Grand Prix 2008 2nd Round;Katsuhiko Nagata;Shinya Aoki;SUB;Gogo Plata;1;5:12;Jun. 15, 2008
DREAM 5: Lightweight Grand Prix 2008 Final Round;Shinya Aoki;Joachim Hansen;KO/TKO;Punches;1;4:19;Jul. 21, 2008
DREAM 5: Lightweight Grand Prix 2008 Final Round;Mark Hunt;Alistair Overeem;SUB;Keylock;1;1:11;Jul. 21, 2008
DREAM 5: Lightweight Grand Prix 2008 Final Round;Katsuyori Shibata;Yoshihiro Akiyama;SUB;Gi Choke;1;6:34;Jul. 21, 2008
DREAM 5: Lightweight Grand Prix 2008 Final Round;Takeshi Yamazaki;Hideo Tokoro;U. DEC;;2;5:00;Jul. 21, 2008
DREAM 5: Lightweight Grand Prix 2008 Final Round;Motoki Miyazawa;Kuniyoshi Hironaka;Dr's Stoppage;Facial Cut;1;8:57;Jul. 21, 2008
DREAM 5: Lightweight Grand Prix 2008 Final Round;Junya Kudo;Joseph Benavidez;SUB;Guillotine Choke;1;2:42;Jul. 21, 2008
DREAM 5: Lightweight Grand Prix 2008 Final Round;Kultar Gill;Joachim Hansen;SUB;Armbar;1;2:33;Jul. 21, 2008
DREAM 5: Lightweight Grand Prix 2008 Final Round;Tatsuya Kawajiri;Eddie Alvarez;KO/TKO;Punches;1;7:35;Jul. 21, 2008
DREAM 5: Lightweight Grand Prix 2008 Final Round;Caol Uno;Shinya Aoki;U. DEC;;2;5:00;Jul. 21, 2008
DREAM 5: Lightweight Grand Prix 2008 Final Round;Andy Ologun;Daisuke Nakamura;SUB;Armbar;1;3:41;Jul. 21, 2008
DREAM 6: Middleweight Grand Prix 2008 Final Round;Ronaldo Souza;Gegard Mousasi;KO/TKO;Kick;1;2:15;Sep. 23, 2008
DREAM 6: Middleweight Grand Prix 2008 Final Round;Alistair Overeem;Mirko Filipovic;CNC;;1;6:09;Sep. 23, 2008
DREAM 6: Middleweight Grand Prix 2008 Final Round;Todd Moore;Shinya Aoki;SUB;Neck Crank;1;1:10;Sep. 23, 2008
DREAM 6: Middleweight Grand Prix 2008 Final Round;Masanori Tonooka;Yoshihiro Akiyama;SUB;Armbar;1;6:26;Sep. 23, 2008
DREAM 6: Middleweight Grand Prix 2008 Final Round;Kuniyoshi Hironaka;Hayato Sakurai;U. DEC;;2;5:00;Sep. 23, 2008
DREAM 6: Middleweight Grand Prix 2008 Final Round;Ikuhisa Minowa;Masakatsu Funaki;SUB;Heel Hook;1;0:52;Sep. 23, 2008
DREAM 6: Middleweight Grand Prix 2008 Final Round;Hideo Tokoro;Atsushi Yamamoto;U. DEC;;2;5:00;Sep. 23, 2008
DREAM 6: Middleweight Grand Prix 2008 Final Round;Jimmy Ambriz;Sergei Kharitonov;SUB;Strikes;1;2:15;Sep. 23, 2008
DREAM 6: Middleweight Grand Prix 2008 Final Round;Adriano Martins;Keita Nakamura;S. DEC;;2;5:00;Sep. 23, 2008
DREAM 6: Middleweight Grand Prix 2008 Final Round;Zelg Galesic;Ronaldo Souza;SUB;Armbar;1;1:27;Sep. 23, 2008
DREAM 6: Middleweight Grand Prix 2008 Final Round;Melvin Manhoef;Gegard Mousasi;SUB;Triangle Choke;1;1:28;Sep. 23, 2008
DREAM 6: Middleweight Grand Prix 2008 Final Round;Dong Sik Yoon;Andrews Nakahara;KO/TKO;Punches;2;0:30;Sep. 23, 2008
DREAM 7: Featherweight Grand Prix 2009 1st Round;Atsushi Yamamoto;Masakazu Imanari;S. DEC;;2;5:00;Mar. 8, 2009
DREAM 7: Featherweight Grand Prix 2009 1st Round;Jong Won Kim;Hiroyuki Takaya;KO/TKO;Punches;2;0:40;Mar. 8, 2009
DREAM 7: Featherweight Grand Prix 2009 1st Round;Micah Miller;Yoshiro Maeda;U. DEC;;2;5:00;Mar. 8, 2009
DREAM 7: Featherweight Grand Prix 2009 1st Round;Ross Ebanez;Tatsuya Kawajiri;SUB;Rear Naked Choke;1;4:03;Mar. 8, 2009
DREAM 7: Featherweight Grand Prix 2009 1st Round;David Gardner;Shinya Aoki;SUB;Rear Naked Choke;1;5:58;Mar. 8, 2009
DREAM 7: Featherweight Grand Prix 2009 1st Round;Daisuke Nakamura;Mitsuhiro Ishida;U. DEC;;2;5:00;Mar. 8, 2009
DREAM 7: Featherweight Grand Prix 2009 1st Round;Akiyo Nishiura;Abel Cullum;U. DEC;;2;5:00;Mar. 8, 2009
DREAM 7: Featherweight Grand Prix 2009 1st Round;Chase Beebe;Joe Warren;Dr's Stoppage;Facial Cut;1;10:00;Mar. 8, 2009
DREAM 7: Featherweight Grand Prix 2009 1st Round;Takafumi Otsuka;Bibiano Fernandes;U. DEC;;2;5:00;Mar. 8, 2009
DREAM 8: Welterweight Grand Prix 2009 1st Round;Shinya Aoki;Hayato Sakurai;KO/TKO;Punches;1;0:27;Apr. 5, 2009
DREAM 8: Welterweight Grand Prix 2009 1st Round;Yuya Shirai;Jason High;SUB;Rear Naked Choke;1;0:59;Apr. 5, 2009
DREAM 8: Welterweight Grand Prix 2009 1st Round;Seichi Ikemoto;Marius Zaromskis;U. DEC;;2;5:00;Apr. 5, 2009
DREAM 8: Welterweight Grand Prix 2009 1st Round;John Alessio;Andre Galvao;SUB;Armbar;1;7:34;Apr. 5, 2009
DREAM 8: Welterweight Grand Prix 2009 1st Round;Hideo Tokoro;Daiki Hata;U. DEC;;2;5:00;Apr. 5, 2009
