FIGHTER_LOSE;FIGHTER_WIN;METHOD;METHOD_DESC;PASS_LOSE;PASS_WIN;ROUND;STR_LOSE;STR_WIN;SUB_LOSE;SUB_WIN;TD_LOSE;TD_WIN;DATE
636;1771;0;47;0.0;0.0;1;1.0;6.0;0.0;0.0;0.0;2.0;2011-12-31 00:00:00
728;1112;0;27;0.0;0.0;1;2.0;5.0;0.0;0.0;1.0;0.0;2009-07-20 00:00:00
456;782;1;24;0.0;2.0;1;0.0;2.0;0.0;1.0;0.0;1.0;2009-07-20 00:00:00
1161;1307;1;5;1.0;1.0;1;22.0;0.0;0.0;1.0;0.0;1.0;2009-07-20 00:00:00
64;952;0;43;0.0;2.0;1;2.0;22.0;0.0;0.0;0.0;1.0;2009-07-20 00:00:00
622;1112;0;27;1.0;0.0;1;21.0;17.0;0.0;0.0;1.0;0.0;2009-07-20 00:00:00
792;1546;1;5;0.0;6.0;2;15.0;5.0;1.0;1.0;0.0;5.0;2009-06-10 00:00:00
1448;961;1;29;0.0;1.0;1;0.0;4.0;0.0;1.0;0.0;1.0;2009-06-10 00:00:00
1158;1600;0;38;0.0;2.0;1;6.0;22.0;0.0;0.0;0.0;1.0;2009-06-10 00:00:00
151;1341;0;38;0.0;1.0;1;0.0;6.0;0.0;0.0;0.0;1.0;2009-06-10 00:00:00
647;667;1;23;0.0;1.0;2;13.0;14.0;0.0;1.0;0.0;2.0;2009-06-10 00:00:00
815;140;1;5;0.0;0.0;1;1.0;4.0;0.0;1.0;2.0;0.0;2009-06-10 00:00:00
636;643;0;38;0.0;0.0;2;26.0;49.0;0.0;0.0;0.0;0.0;2009-06-10 00:00:00
706;52;1;19;0.0;0.0;1;0.0;1.0;0.0;1.0;0.0;0.0;2009-10-25 00:00:00
952;483;1;4;0.0;3.0;2;14.0;20.0;2.0;3.0;0.0;2.0;2009-10-25 00:00:00
645;1112;0;27;0.0;0.0;1;1.0;1.0;0.0;0.0;0.0;0.0;2009-10-25 00:00:00
1780;961;1;32;0.0;0.0;1;33.0;0.0;0.0;1.0;0.0;1.0;2009-10-25 00:00:00
1639;954;0;42;0.0;0.0;1;15.0;30.0;0.0;0.0;0.0;0.0;2009-10-25 00:00:00
270;1757;1;44;1.0;1.0;1;9.0;21.0;0.0;1.0;1.0;2.0;2009-10-25 00:00:00
1738;1013;0;6;0.0;0.0;1;13.0;11.0;0.0;0.0;0.0;0.0;2009-10-25 00:00:00
1550;890;1;29;0.0;1.0;1;8.0;15.0;0.0;1.0;0.0;1.0;2010-03-22 00:00:00
1757;322;0;27;0.0;0.0;1;8.0;7.0;0.0;0.0;0.0;0.0;2010-03-22 00:00:00
1013;952;0;42;0.0;0.0;1;3.0;9.0;0.0;0.0;0.0;0.0;2010-03-22 00:00:00
788;667;1;53;4.0;1.0;2;11.0;13.0;1.0;1.0;3.0;0.0;2010-03-22 00:00:00
622;1251;1;5;0.0;1.0;1;7.0;8.0;0.0;1.0;1.0;1.0;2010-05-29 00:00:00
792;643;0;43;0.0;0.0;1;13.0;12.0;0.0;0.0;0.0;0.0;2010-05-29 00:00:00
545;1270;0;42;0.0;0.0;1;3.0;9.0;0.0;0.0;0.0;0.0;2010-05-29 00:00:00
636;23;0;42;0.0;0.0;1;1.0;14.0;0.0;0.0;0.0;0.0;2010-05-29 00:00:00
671;667;1;44;0.0;3.0;1;0.0;4.0;0.0;1.0;0.0;1.0;2010-05-29 00:00:00
1600;1546;1;2;0.0;0.0;1;2.0;0.0;0.0;3.0;0.0;0.0;2010-10-07 00:00:00
693;583;1;19;0.0;0.0;1;0.0;0.0;0.0;1.0;0.0;0.0;2010-10-07 00:00:00
1161;1601;1;29;1.0;3.0;1;19.0;20.0;0.0;4.0;0.0;2.0;2010-10-07 00:00:00
1760;1175;1;19;0.0;3.0;1;4.0;21.0;1.0;2.0;0.0;0.0;2010-10-07 00:00:00
1601;583;1;44;0.0;7.0;1;4.0;19.0;2.0;1.0;0.0;2.0;2010-09-25 00:00:00
961;733;1;4;0.0;0.0;1;1.0;14.0;0.0;1.0;0.0;0.0;2010-09-25 00:00:00
270;643;0;43;0.0;0.0;1;6.0;9.0;0.0;0.0;0.0;0.0;2010-09-25 00:00:00
322;1175;1;5;0.0;2.0;1;1.0;1.0;0.0;3.0;0.0;1.0;2010-09-25 00:00:00
636;792;1;55;0.0;2.0;1;4.0;13.0;0.0;2.0;0.0;1.0;2010-09-25 00:00:00
1400;1546;1;35;0.0;5.0;1;0.0;4.0;0.0;1.0;0.0;2.0;2011-09-24 00:00:00
792;1600;1;4;2.0;11.0;3;19.0;19.0;0.0;2.0;0.0;3.0;2011-09-24 00:00:00
229;1595;0;38;0.0;0.0;1;5.0;12.0;0.0;0.0;0.0;0.0;2011-09-24 00:00:00
961;1740;1;4;0.0;3.0;2;5.0;32.0;0.0;2.0;0.0;3.0;2011-09-24 00:00:00
1589;140;1;44;0.0;1.0;1;3.0;2.0;0.0;1.0;0.0;1.0;2011-09-24 00:00:00
8;1129;1;5;0.0;0.0;3;23.0;5.0;0.0;5.0;0.0;0.0;2011-09-24 00:00:00
125;667;1;35;0.0;1.0;1;0.0;0.0;0.0;2.0;0.0;1.0;2011-09-24 00:00:00
106;1546;1;52;0.0;1.0;2;3.0;5.0;0.0;0.0;1.0;2.0;2012-12-31 00:00:00
1757;140;1;55;0.0;1.0;1;1.0;1.0;0.0;2.0;0.0;1.0;2012-12-31 00:00:00
424;1161;0;30;0.0;0.0;1;0.0;4.0;0.0;0.0;0.0;0.0;2012-12-31 00:00:00
550;1122;1;5;0.0;0.0;1;5.0;19.0;0.0;4.0;0.0;0.0;2012-12-31 00:00:00
1489;1728;0;43;0.0;1.0;2;2.0;55.0;5.0;0.0;0.0;2.0;2012-12-31 00:00:00
64;483;0;43;0.0;5.0;1;8.0;40.0;0.0;0.0;0.0;3.0;2008-03-15 00:00:00
1601;1216;0;43;0.0;0.0;1;0.0;12.0;0.0;0.0;0.0;0.0;2008-03-15 00:00:00
963;1067;1;44;1.0;2.0;1;6.0;14.0;0.0;1.0;3.0;1.0;2008-03-15 00:00:00
637;622;0;43;0.0;0.0;1;7.0;41.0;0.0;0.0;0.0;1.0;2008-03-15 00:00:00
1036;667;1;32;0.0;1.0;1;1.0;0.0;0.0;1.0;0.0;1.0;2008-03-15 00:00:00
78;961;1;35;0.0;2.0;1;14.0;7.0;0.0;2.0;0.0;3.0;2008-04-29 00:00:00
424;583;1;55;2.0;0.0;1;2.0;6.0;1.0;1.0;1.0;0.0;2008-04-29 00:00:00
1127;1003;0;43;0.0;0.0;1;10.0;15.0;0.0;0.0;0.0;1.0;2008-04-29 00:00:00
657;1428;1;44;0.0;1.0;1;0.0;7.0;0.0;2.0;1.0;1.0;2008-04-29 00:00:00
1084;1780;1;5;0.0;1.0;1;0.0;4.0;1.0;1.0;1.0;0.0;2008-04-29 00:00:00
1220;229;1;44;4.0;0.0;2;20.0;33.0;0.0;1.0;2.0;0.0;2008-11-05 00:00:00
953;1251;0;6;0.0;1.0;1;23.0;87.0;0.0;0.0;0.0;1.0;2008-11-05 00:00:00
218;355;0;42;0.0;2.0;2;17.0;23.0;0.0;5.0;1.0;0.0;2008-11-05 00:00:00
352;1161;0;30;1.0;1.0;1;7.0;10.0;0.0;0.0;1.0;0.0;2008-11-05 00:00:00
954;733;0;43;0.0;4.0;1;4.0;42.0;1.0;0.0;0.0;1.0;2008-11-05 00:00:00
961;1161;0;43;0.0;1.0;1;0.0;21.0;0.0;0.0;0.0;0.0;2008-06-15 00:00:00
1588;1780;0;9;0.0;0.0;1;1.0;4.0;0.0;0.0;0.0;1.0;2008-06-15 00:00:00
27;1338;1;5;0.0;2.0;1;3.0;3.0;0.0;1.0;0.0;1.0;2008-06-15 00:00:00
1586;52;0;43;0.0;0.0;1;0.0;10.0;0.0;0.0;0.0;0.0;2008-06-15 00:00:00
950;1546;1;17;0.0;3.0;1;0.0;8.0;0.0;2.0;0.0;2.0;2008-06-15 00:00:00
1546;792;0;43;2.0;0.0;1;1.0;12.0;1.0;0.0;1.0;0.0;2008-07-21 00:00:00
1118;52;1;26;1.0;0.0;1;3.0;0.0;0.0;2.0;1.0;0.0;2008-07-21 00:00:00
954;1752;1;16;0.0;2.0;1;10.0;8.0;0.0;1.0;0.0;1.0;2008-07-21 00:00:00
922;888;1;19;0.0;1.0;1;5.0;12.0;0.0;1.0;0.0;2.0;2008-07-21 00:00:00
1012;792;1;5;0.0;0.0;1;6.0;2.0;0.0;1.0;1.0;1.0;2008-07-21 00:00:00
1600;483;0;43;2.0;0.0;1;28.0;46.0;0.0;0.0;0.0;0.0;2008-07-21 00:00:00
81;355;1;5;0.0;0.0;1;4.0;2.0;0.0;3.0;0.0;0.0;2008-07-21 00:00:00
1428;583;0;27;1.0;0.0;1;1.0;2.0;0.0;0.0;1.0;0.0;2008-09-23 00:00:00
1638;1546;1;35;0.0;1.0;1;1.0;2.0;0.0;1.0;0.0;1.0;2008-09-23 00:00:00
1131;1752;1;5;0.0;5.0;1;1.0;7.0;0.0;1.0;0.0;2.0;2008-09-23 00:00:00
667;1127;1;23;0.0;0.0;1;0.0;1.0;0.0;3.0;0.0;0.0;2008-09-23 00:00:00
788;1522;1;52;0.0;0.0;1;4.0;32.0;0.0;0.0;0.0;0.0;2008-09-23 00:00:00
1780;1428;1;5;0.0;2.0;1;0.0;3.0;0.0;1.0;0.0;1.0;2008-09-23 00:00:00
1161;583;1;55;0.0;1.0;1;0.0;1.0;0.0;2.0;1.0;1.0;2008-09-23 00:00:00
456;78;0;43;2.0;0.0;2;10.0;36.0;2.0;0.0;1.0;0.0;2008-09-23 00:00:00
871;643;0;43;0.0;0.0;2;9.0;35.0;0.0;0.0;2.0;0.0;2009-08-03 00:00:00
1437;1600;1;44;0.0;3.0;1;3.0;3.0;0.0;1.0;1.0;2.0;2009-08-03 00:00:00
407;1546;1;44;0.0;2.0;1;1.0;2.0;0.0;3.0;0.0;1.0;2009-08-03 00:00:00
1546;622;0;43;0.0;0.0;1;0.0;7.0;0.0;0.0;1.0;0.0;2009-05-04 00:00:00
1772;728;1;44;0.0;1.0;1;1.0;4.0;0.0;2.0;0.0;0.0;2009-05-04 00:00:00
826;66;1;5;0.0;1.0;1;8.0;18.0;0.0;2.0;0.0;1.0;2009-05-04 00:00:00
1522;748;1;36;0.0;1.0;1;1.0;1.0;0.0;1.0;0.0;0.0;2009-05-04 00:00:00
1548;78;0;42;0.0;0.0;1;1.0;13.0;0.0;0.0;0.0;0.0;2009-05-04 00:00:00
1757;643;0;42;5.0;0.0;1;22.0;15.0;0.0;0.0;3.0;0.0;2009-05-26 00:00:00
8;636;1;44;1.0;1.0;2;16.0;21.0;2.0;4.0;3.0;0.0;2009-05-26 00:00:00
1118;583;1;5;0.0;1.0;1;0.0;5.0;0.0;2.0;0.0;0.0;2009-05-26 00:00:00
714;1341;0;43;0.0;0.0;1;1.0;18.0;0.0;0.0;0.0;1.0;2009-05-26 00:00:00
883;647;1;52;0.0;0.0;1;1.0;6.0;0.0;0.0;0.0;0.0;2009-05-26 00:00:00
