AK&M;Fitch Ratings;Moody's;S&P;and;bank;capital;day_term;dep_name;min_amount;payments_daily;payments_end;payments_monthly;payments_section;profit;rate;refill;spec_deposit;HPA;RUS-Rating;ExpertRA
;A-(rus);A3.ru;ruA;;Русский Стандарт;;360.0;«Высокий процент»;30000.0;;1.0;;;8630.0;8.75;1.0;0.0;AA+;AA-;
;A-(rus);A3.ru;ruA;1.0;Русский Стандарт;;360.0;«Удобный On-line»;100000.0;;1.0;;;8630.0;8.75;;1.0;AA+;AA-;
;AA-(rus);A1.ru;ruAA;;Связь-Банк;1.0;365.0;«Чемпион»;15000.0;;;1.0;;9055.0;8.7;1.0;1.0;;;
;;;ruA;;Банк «Открытие»;1.0;367.0;«Новогодний фристайл 2014»;50000.0;;;1.0;;9053.0;8.65;1.0;1.0;AA;;
;A+(rus);A2.ru;;;Ак Барс;;372.0;«Высокий результат»;10000.0;;1.0;;;8796.0;8.63;1.0;0.0;;AA-;
;A(rus);A1.ru;;;РосЕвроБанк;1.0;331.0;«Удобная дата»;50000.0;;;1.0;;8947.0;8.6;;0.0;AA-;;
;;;ruA;;Банк «Открытие»;;367.0;«Классика»;100000.0;;1.0;;;8647.0;8.6;;0.0;AA;;
A+;;Baa3.ru;;;Татфондбанк;;367.0;«Вклад для тех, кто распределяет валюту »;1500.0;;1.0;;;8547.0;8.5;1.0;0.0;;;A
;;;;;Уралсиб;1.0;367.0;«Уралсиб. 25 лет»;10000.0;1.0;;;;8921.0;8.5;1.0;1.0;;AA-;
A+;;Baa3.ru;;1.0;Татфондбанк;;367.0;«Вклад для тех, кто  всегда on-line»;100000.0;;1.0;;;8547.0;8.5;;1.0;;;A
;;A2.ru;;;Восточный Экспресс Банк;1.0;367.0;«Рождественский»;100000.0;;;1.0;;8890.0;8.5;;0.0;;;A+
;;;ruAAA;;Банк Москвы;;400.0;«Годовой бонус»;100000.0;;1.0;;;9315.0;8.5;;1.0;;AA+;
;AAA(rus);Aaa.ru;;;Россельхозбанк;;365.0;«Классический online»;3000.0;;1.0;;;8450.0;8.45;;1.0;;;
;;Baa3.ru;;;СМП Банк;;365.0;«Аэробонус»;25000.0;;;1.0;;8450.0;8.45;1.0;0.0;AA;;
;A+(rus);Aa3.ru;;;Кредит Европа Банк;;368.0;«Срочный»;100000.0;;1.0;;;8519.0;8.45;;0.0;;BBB+;
;;Baa3.ru;;1.0;СМП Банк;;365.0;«Стратег»;10000.0;;1.0;;;8400.0;8.4;;1.0;AA;;
;;A2.ru;ruA;;Петрокоммерц;1.0;360.0;«Классика»;30000.0;;;1.0;;8607.0;8.4;;0.0;;AA-;A+
;A+(rus);A2.ru;;;Ак Барс;;367.0;«Мультивалютный»;100000.0;;1.0;;;8396.0;8.35;1.0;0.0;;AA-;
;A+(rus);Aa3.ru;;1.0;Кредит Европа Банк;;368.0;«Накопительный»;100000.0;;1.0;;;8419.0;8.35;;0.0;;BBB+;
;A+(rus);;;;Зенит;;366.0;«Срочный»;1000.0;;1.0;;;8273.0;8.25;;0.0;;AA-;
;AAA(rus);Aaa.ru;;;Россельхозбанк;;365.0;«Классический»;3000.0;;1.0;;;8250.0;8.25;;0.0;;;
;BBB(rus);Baa1.ru;;;Новикомбанк;;365.0;«Доход»;10000.0;;1.0;;;8250.0;8.25;1.0;0.0;;;A+
;;;;;Московский Индустриальный Банк;1.0;365.0;«Накопительный +»;10000.0;;1.0;;;8569.0;8.25;1.0;0.0;;;A
;A+(rus);;;;Банк «Санкт-Петербург»;;367.0;«Депозит online»;10000.0;;1.0;;;8295.0;8.25;;1.0;;;A++
;A+(rus);;;;Банк «Санкт-Петербург»;;367.0;«Стратег online»;10000.0;;1.0;;;8295.0;8.25;1.0;1.0;;;A++
;A-(rus);A3.ru;ruA;1.0;Русский Стандарт;;360.0;«Удобный»;30000.0;;1.0;;;8137.0;8.25;;0.0;AA+;AA-;
;;Ba1.ru;ruA-;;Бинбанк;;365.0;«Мультивалютный»;30000.0;;1.0;;;8250.0;8.25;1.0;0.0;AA;AA;A+
;;;;;Московский Индустриальный Банк;1.0;181.0;«Накопительный»;100000.0;;;1.0;;8569.0;8.25;1.0;0.0;;;A
;;;;;Московский Индустриальный Банк;1.0;181.0;«Накопительный – Телебанк»;100000.0;;;1.0;;8569.0;8.25;1.0;1.0;;;A
;A-(rus);A3.ru;ruA;;Русский Стандарт;1.0;360.0;«Рантье Оn-line»;100000.0;;;1.0;;8447.0;8.25;1.0;1.0;AA+;AA-;
;;Baa1.ru;;;Росгосстрах Банк;;367.0;«Классический»;100000.0;;1.0;;;8295.0;8.25;;0.0;;;A
;;;ruA;;Банк «Открытие»;;365.0;«Проще простого»;100000.0;;1.0;;;8200.0;8.2;1.0;0.0;AA;;
;A+(rus);Aa3.ru;;;НОМОС-Банк;1.0;365.0;«Номос - максимальный»;10000.0;;;1.0;;8461.0;8.15;;0.0;AAA;AA;
;A+(rus);;;;Банк «Санкт-Петербург»;;367.0;«Рантье online»;50000.0;;;1.0;;8195.0;8.15;;1.0;;;A++
;;;ruAA-;;Россия;;367.0;«Морозные узоры стандарт»;100000.0;;1.0;;;8195.0;8.15;1.0;1.0;;;A++
;;Baa3.ru;;1.0;СМП Банк;1.0;365.0;«Банкоматный»;1000.0;;;1.0;;8408.0;8.1;;0.0;AA;;
;;;;;;;;;;;;;;;;;;;;
;;;;;Уралсиб;;367.0;«Достойный дом детям!»;5000.0;;;;1.0;8144.0;8.1;1.0;1.0;;AA-;
;;;ruA;;Банк «Открытие»;;365.0;«Мультивалютный»;30000.0;;;1.0;;8100.0;8.1;1.0;0.0;AA;;
;A(rus);A1.ru;;;РосЕвроБанк;1.0;367.0;«Накопительный Плюс»;50000.0;;;;1.0;8397.0;8.1;1.0;0.0;AA-;;
;AAA(rus);Aaa.ru;;;Россельхозбанк;1.0;365.0;«Накопительный online»;100000.0;;;1.0;;8408.0;8.1;1.0;1.0;;;
;;Baa3.ru;;1.0;СМП Банк;1.0;365.0;«Финансовый множитель»;1000.0;;;1.0;;8300.0;8.0;;0.0;AA;;
;;Baa1.ru;;;Росгосстрах Банк;;367.0;«Накопительный»;3000.0;;1.0;;;8044.0;8.0;1.0;0.0;;;A
;A+(rus);;;;Банк «Санкт-Петербург»;;367.0;«Депозит»;5000.0;;1.0;;;8044.0;8.0;;0.0;;;A++
;A-(rus);;;;МТС-Банк;;366.0;«Высокий доход»;10000.0;;1.0;;;8022.0;8.0;;0.0;;AA-;
;BBB(rus);Baa1.ru;;1.0;Новикомбанк;1.0;367.0;«Старт»;10000.0;;;1.0;;8347.0;8.0;;0.0;;;A+
;;Baa1.ru;ruA-;1.0;Внешпромбанк;1.0;273.0;«Новый удобный»;100000.0;;;;1.0;8243.0;8.0;;0.0;AA-;;
;;;ruA;1.0;Банк «Открытие»;;367.0;«Свобода выбора»;100000.0;;1.0;;;8044.0;8.0;;0.0;AA;;
