"MES";"CLIENT";"PROD_TYPE";"COUNT_SKU"
01.06.2012 0:00:00;5142;"ฬรา";15876
01.06.2012 0:00:00;5198;"สรา";2353
01.06.2012 0:00:00;5208;"ยั";4
01.06.2012 0:00:00;5269;"สรา";2110
01.06.2012 0:00:00;151;"ยั";7135
01.06.2012 0:00:00;173;"ยั";641
01.06.2012 0:00:00;212;"ฬรา";4201
01.06.2012 0:00:00;883;"ฬรา";16404
01.06.2012 0:00:00;5212;"ยั";6203
01.06.2012 0:00:00;764;"ยั";6214
01.06.2012 0:00:00;809;"สรา";684
01.06.2012 0:00:00;895;"สรา";655
01.06.2012 0:00:00;911;"ยั";6
01.06.2012 0:00:00;5101;"ยั";5394
01.06.2012 0:00:00;5250;"ยั";7021
01.06.2012 0:00:00;5023;"ฬรา";576
01.06.2012 0:00:00;5231;"ยั";15000
01.06.2012 0:00:00;432;"ยั";8226
01.06.2012 0:00:00;5020;"ฬรา";24887
01.06.2012 0:00:00;5305;"ฬรา";11489
01.06.2012 0:00:00;5024;"ยั";9
01.06.2012 0:00:00;5257;"สรา";661
01.06.2012 0:00:00;270;"ยั";23815
01.06.2012 0:00:00;298;"ฬรา";2854
01.06.2012 0:00:00;955;"ยั";20280
01.06.2012 0:00:00;5075;"ยั";23
01.06.2012 0:00:00;5093;"ยั";7812
01.06.2012 0:00:00;5146;"ฬรา";241
01.06.2012 0:00:00;5220;"ฬรา";2555
01.06.2012 0:00:00;5321;"สรา";350
01.06.2012 0:00:00;468313;"ฬรา";107
01.06.2012 0:00:00;5106;"สรา";757
01.06.2012 0:00:00;5100;"ยั";7963
01.06.2012 0:00:00;5252;"ฬรา";3699
01.06.2012 0:00:00;508616;"สรา";45
01.06.2012 0:00:00;100;"ยั";3355
01.06.2012 0:00:00;420;"ฬรา";7215
01.06.2012 0:00:00;5115;"ยั";24609
01.06.2012 0:00:00;5172;"สรา";280
01.06.2012 0:00:00;871;"ยั";12845
01.06.2012 0:00:00;5330;"ฬรา";1896
01.06.2012 0:00:00;883;"ยั";27
01.06.2012 0:00:00;5073;"ยั";41851
01.06.2012 0:00:00;489;"สรา";381
01.06.2012 0:00:00;470;"ฬรา";15790
01.06.2012 0:00:00;5033;"ฬรา";1939
01.06.2012 0:00:00;5067;"ฬรา";559
01.06.2012 0:00:00;5363;"ยั";5
01.06.2012 0:00:00;294;"ยั";25130
01.06.2012 0:00:00;5012;"ยั";1321
01.06.2012 0:00:00;5225;"ยั";43
01.06.2012 0:00:00;279;"ฬรา";1991
01.06.2012 0:00:00;485;"สรา";5681
01.06.2012 0:00:00;5078;"ฬรา";2915
01.06.2012 0:00:00;5240;"ยั";19510
01.06.2012 0:00:00;328;"ยั";7419
01.06.2012 0:00:00;478;"ยั";9866
01.06.2012 0:00:00;490;"สรา";2851
01.06.2012 0:00:00;768;"ยั";179
01.06.2012 0:00:00;792;"ยั";23866
01.06.2012 0:00:00;5276;"ฬรา";2466
01.06.2012 0:00:00;177;"ยั";4621
01.06.2012 0:00:00;198;"ยั";24419
01.06.2012 0:00:00;5264;"ยั";119
01.06.2012 0:00:00;5357;"ฬรา";2097
01.06.2012 0:00:00;944;"ยั";29
01.06.2012 0:00:00;178;"ยั";11156
01.06.2012 0:00:00;206;"ยั";11020
01.06.2012 0:00:00;273;"ฬรา";1518
01.06.2012 0:00:00;496078;"สรา";68
01.06.2012 0:00:00;5181;"ยั";1213
01.06.2012 0:00:00;466;"ยั";8
01.06.2012 0:00:00;238;"ฬรา";5810
01.06.2012 0:00:00;5316;"ฬรา";2842
01.06.2012 0:00:00;5304;"ยั";6
01.06.2012 0:00:00;952;"ยั";444
01.06.2012 0:00:00;5071;"ยั";3809
01.04.2012 0:00:00;703;"ฬรา";677
01.04.2012 0:00:00;762;"ฬรา";73361
01.04.2012 0:00:00;951;"ฬรา";1126
01.04.2012 0:00:00;970;"สรา";2169
01.04.2012 0:00:00;5057;"ยั";70
01.04.2012 0:00:00;5059;"ยั";7822
01.04.2012 0:00:00;5129;"ฬรา";7231
01.04.2012 0:00:00;5157;"ยั";8010
01.04.2012 0:00:00;216;"ฬรา";4420
01.04.2012 0:00:00;5106;"ยั";10855
01.04.2012 0:00:00;5224;"ฬรา";9076
01.04.2012 0:00:00;5265;"ยั";26635
01.04.2012 0:00:00;5269;"ฬรา";28762
01.04.2012 0:00:00;5321;"ฬรา";37238
01.04.2012 0:00:00;5383;"ยั";486
01.04.2012 0:00:00;843;"ยั";47
01.04.2012 0:00:00;952;"ฬรา";9894
01.04.2012 0:00:00;5015;"ยั";7900
01.04.2012 0:00:00;5037;"ฬรา";27533
01.04.2012 0:00:00;5043;"ยั";310
01.04.2012 0:00:00;5049;"สรา";1192
01.04.2012 0:00:00;5063;"ยั";137
01.04.2012 0:00:00;5106;"ยั";3700
01.04.2012 0:00:00;796;"ฬรา";12888
01.04.2012 0:00:00;883;"ฬรา";17329
01.04.2012 0:00:00;910;"ฬรา";9046
01.04.2012 0:00:00;412;"ยั";4
01.04.2012 0:00:00;494;"สรา";1513
01.04.2012 0:00:00;494;"ฬรา";23231
01.04.2012 0:00:00;775;"ฬรา";10907
01.04.2012 0:00:00;809;"สรา";213
01.04.2012 0:00:00;5011;"ยั";7619
01.04.2012 0:00:00;5224;"ยั";5404
01.04.2012 0:00:00;420;"ยั";8620
01.04.2012 0:00:00;797;"สรา";4031
01.04.2012 0:00:00;868;"ฬรา";25546
01.04.2012 0:00:00;945;"ยั";24
01.04.2012 0:00:00;946;"ฬรา";3047
01.04.2012 0:00:00;5017;"ยั";26700
01.04.2012 0:00:00;5121;"ยั";40
01.04.2012 0:00:00;468168;"ฬรา";49
