id;shop;adress;format;region;city
5169;5169 Оренбург СМ ТриКита;"г. Оренбург, ул. Туркестанская, д. 147, ТЦ ""Три Кита""";Супермаркет;Приволжский;Оренбург
5170;5170 Екатер O'S Кировски;"г. Екатеринбург, ул. Восстания, д. 50, ТЦ ""Кировский""";O'STIN;Уральский;Екатеринбург
5171;5171 Калининград O'S Лен;г. Калининград, Ленинский пр-т, д. 10-14;O'STIN;Северо-Западный;Калининград
5172;5172 В.Новгород СМ Русь;"г. Великий Новгород, ул. Большая Санкт-Петербургская, д. 25, ТЦ ""Русь""";Супермаркет;Северо-Западный;Великий Новгород
5173;5173 Орск O'S РингПлаза;"г. Орск, ТЦ ""Ринг Плаза"", ул. Ленина, д. 25";O'STIN;Приволжский;Орск
5174;5174 Электросталь O'S ПП;"г. Электросталь, ТЦ ""Парк Плаза"", ул. Корешкова, д.3";O'STIN;Московский;Электросталь
5175;5175 Астрахань O'S Ярм;"г. Астрахань, Вокзальная площадь, д. 5, ТЦ ""Ярмарка""";O'STIN;Южный;Астрахань
5176;5176 Алматы O'S Мерей;"г. Алматы, пр-т Суюмбая, д. 2, к. 3, литер А, ТЦ ""Мерей""";O'STIN Дисконт;Казахстанский;Алматы
5177;5177 Ангарск СМ Rauma+;"г. Ангарск, ТЦ ""Rauma Plus"", квартал 182, д.12";Супермаркет;Сибирский;Ангарск
5178;5178 Донецк СМ Артема;м.Донецьк, вул. Артема, буд. 147в;Супермаркет;Украинский;Донецк
5179;"5179 Мытищи O'S ТЦ ""КК""";"г. Мытищи, ТЦ ""Красный Кит"", Шараповский проезд, вл. 2";O'STIN;Московский;Мытищи
5180;5180 Балаково O'S Оранж;"г. Балаково, ул. Волжская, д. 100, ТЦ ""Оранж""";O'STIN;Приволжский;Балаково
5181;5181 С.Оскол O'S Европа;"г. Старый Оскол, пр-т. Губкина, д. 1, ТЦ ""Европа""";O'STIN;Южно-центральный;Старый Оскол
5182;5182 Миасс СМ ТРК«Слон»;г. Миасс, пр-т Автозаводцев, д. 65, ТРК «Слон»;Супермаркет;Уральский;Миасс
5184;5184 Сыктывкар O'S Макси;"г. Сыктывкар, ТРЦ ""Макси"", Октябрьский пр-т, д.141";O'STIN;Северо-Западный;Сыктывкар
5185;"5185 Тула O'S ТРЦ ""ГД""";"г. Тула, ул. Советская, д. 47, ТЦ ""Гостиный Двор""";O'STIN;Северо-центральный;Тула
5186;5186 Нижневартовск O'S Е;"г. Нижневартовск, ул. Чапаева, д. 27, ТРЦ ""Европа Сити""";O'STIN;Уральский;Нижневартовск
5187;5187 Новосибирск O'S Гд7;г. Новосибирск, ул. Гоголя, д.7;O'STIN;Сибирский;Новосибирск
5188;"5188 Саратов O'S ТЦ""С""";"Саратовская область, поселок Расково, ТЦ ""Happy Молл"", Вольский тракт, д. 2";O'STIN;Приволжский;Саратов
5189;5189 П-К O'S ГалантСити;"г. Петропавловск-Камчатский, ул. Пограничная, д. 2, ТЦ ""Галант Сити""";O'STIN;Дальневосточный;Петропавловск-Камчатский
5190;"5190 Волгодонск O'S ""ТЦ""";"г. Волгодонск, ул. Весенняя, д. 56, ТЦ ""Торговый Центр""";O'STIN;Южный;Волгодонск
5191;5191 Павлодар O'S Тд61;г. Павлодар, ул. Торайгырова, д. 61;O'STIN;Казахстанский;Павлодар
5192;5192 Нижньодніпр., 17;Дніпропетровська область, Дніпропетровський район,  селище Ювілейне, вул.Нижньодніпровська, 17;Супермаркет;Украинский;Днепропетровск
5193;"5193 Орел O'S ТЦ ""Рио""";"г. Орел, Московское ш., д. 175, ТРЦ ""Рио""";O'STIN;Южно-центральный;Орел
5194;5194 Миасс O'S Пирамида;"г. Миасс, пр. Автозаводцев, д. 65, ТЦ ""Слон""";O'STIN;Уральский;Миасс
5195;5195 СПб O'S ТРК Сенная;"г. Санкт-Петербург, Адмиралтейский р-н, ул. Ефимова, д. 3б, литер С, ТРК ""Сенная""";O'STIN;Северо-Западный;Санкт-Петербург
5196;5196 Влад-ток СМ Фортуна;"г. Владивосток, ул. Калинина, д. 277, ТЦ ""Фортуна""";Супермаркет;Дальневосточный;Владивосток
5197;5197 В-сток СМ О пр-т 98;г. Владивосток, Океанский пр-т, д. 98;Супермаркет;Дальневосточный;Владивосток
5198;5198 Юж-Сах СМ Сити-Молл;"г. Южно-Сахалинск, р-н Хомутово, ул. 2-я Центральная, д. 1б, ТРЦ ""Сити-Молл""";Супермаркет;Дальневосточный;Южно-Сахалинск
5199;"5199 Нягань O'S ТРЦ""OP""";"г. Нягань, ул. Ленина, д. 28, ТЦ ""Oasis Plaza""";O'STIN;Уральский;Нягань
5200;5200 Калуга СМ ТЦ«ТорКв»;"г. Калуга, TPЦ ""Торговый квартал"", ул.Московская 338 А";Гипермаркет;Центральный;Калуга
5201;5201 ТЦ «Форум» Мурманск;"г. Мурманск, Кольский пр-т, д. 134, ТЦ ""Форум""";Супермаркет;Северо-Западный;Мурманск
5202;5202 П-К СМ ТЦ «Мега»;"г. Петропавловск-Камчатский, ул. Тушканова, д. 35, ТЦ ""Мега""";Супермаркет;Дальневосточный;Петропавловск-Камчатский
5203;5203 Алматы СМ «A'port»;"г.Алматы, ТЦ ""A'port"", Карасайский р-н, 16 км трассы Алматы-Бишкек";Супермаркет;Казахстанский;Алматы
5204;5204 Вологда O'S ТЦР РИО;"г. Вологда, Окружное ш., д. 12, ТРЦ ""РИО""";O'STIN;Северо-центральный;Вологда
5205;5205 Тюмень СМ Па-на-ма;"г. Тюмень, ул. 2-я Луговая, д. 30, ТРЦ ""Па-на-ма""";Супермаркет;Уральский;Тюмень
5206;5206 Домодедово СМ «ТК»;"г. Домодедово, Каширское ш., стр. 3А, ТРЦ ""Торговый Квартал""";Супермаркет;Московский;Домодедово
5207;5207 ТЦ «АДК»;"г.Алматы, ул. Сатпаева, д.90, ТЦ ""АДК""";Супермаркет;Казахстанский;Алматы
5208;5208 Омск СМ ТЦ «О'Кеу»;"г. Омск, ул. Энтузиастов, д. 2, корп. 1, ТЦ ""О'Кеу""";Супермаркет;Сибирский;Омск
5209;5209 Серпухов СМ Корстон;"г. Серпухов, Борисовское ш., д. 1, ТРЦ ""Корстон""";Супермаркет;Центральный;Серпухов
5210;5210 ТЦ «Дмитровский»;"г. Дмитров, ул. Профессиональная, д. 7, ТЦ ""Дмитровский""";Супермаркет;Центральный;Дмитров
5211;5211 Красногорск O'S И;"г. Красногорск, ул. Знаменская, д. 5, ТРК ""Июнь""";O'STIN;Московский;Красногорск
5212;5212 Нижнекамск O'S Эс.;"г. Нижнекамск, ул. Гагарина, д. 25, ТЦ ""Эссен""";O'STIN;Приволжский;Нижнекамск
5213;"5213 Любня O'S ""Поворот""";"г.Лобня ТЦ ""Поворот"" , ул. Краснополянский проезд д. 2";O'STIN;Московский;Лобня
5214;"5214 Клин O'S ТЦ""Сч. 7я""";"г. Клин, ТЦ ""Счастливая 7я"", Советская пл., д.5";O'STIN;Московский;Клин
5215;"5215 Березники O'S ""ЦУМ""";"г. Березники, ул. Пятилетки, д.  41, ТЦ ""ЦУМ""";O'STIN;Уральский;Березники
5216;5216 Н.Новгород O'S РИО;"г. Нижний Новгород, Московское ш., д. 12, ТЦ ""РИО""";O'STIN;Северо-центральный;Нижний Новгород
5217;5217 Новомосковск O'S 36;г. Новомосковск ул. Комсомольская, д. 36/14;O'STIN;Северо-центральный;Новомосковск
5218;"5218 Орел O'S ТЦ ""Цум""";"г. Орел, пл. Мира, д. 1, лит. А, ТЦ ""Цум""";O'STIN;Южно-центральный;Орел
5219;"5219 Рязань O'S ТРЦ""М5""";"г. Рязань, Московское ш., 65А, ТРЦ ""М5 Молл""";O'STIN;Северо-центральный;Рязань
5220;5220 Солнечногорск O'S С;"г. Солнечногорск, ТЦ ""Сенеж"", ул. Почтовая, д.17/8";O'STIN;Московский;Солнечногорск
5221;5221 Мурманск O'S Форум;"г. Мурманск, Кольский пр-кт, д. 134, ТРЦ ""Форум""";O'STIN;Северо-Западный;Мурманск
5222;5222 Петрозаводск O'S М;"г. Петрозаводск, пр-т Ленина, д. 14, ТЦ ""Макси""";O'STIN;Северо-Западный;Петрозаводск
5223;"5223 СПб O'S ТЦ ""З К""";"г.Санкт-Петербург, Заневский пр-т, д. 67, к. 3, лит А, ТЦ ""Заневский Каскад""";O'STIN;Северо-Западный;Санкт-Петербург
5224;5224 Оренбург O'S Север;"г. Оренбург, пр-т Дзержинского, д. 23,ТЦ ""Север""";O'STIN;Приволжский;Оренбург
5225;5225 Ставрополь O'S Косм;"г.Ставрополь, ул.Доваторцев, д.75 А, ТЦ ""Космос""";O'STIN;Южный;Ставрополь
5226;5226 Винница СМ Мегамолл;м. Вiнниця, вул.600-рiччя, буд.17;Супермаркет;Украинский;Винница
